Date,Close/Last,Volume,Open,High,Low
9/28/2023,$39.74 ,1486025,$39.24 ,$40.35 ,$38.90 
9/27/2023,$39.56 ,1734848,$38.96 ,$39.56 ,$38.39 
9/26/2023,$38.59 ,2239987,$37.65 ,$39.05 ,$37.37 
9/25/2023,$38.20 ,2219645,$37.35 ,$38.34 ,$37.12 
9/22/2023,$37.76 ,2103852,$38.82 ,$38.97 ,$37.48 
9/21/2023,$38.44 ,2582358,$38.38 ,$39.30 ,$38.24 
9/20/2023,$39.33 ,3766858,$39.67 ,$40.56 ,$39.31 
9/19/2023,$39.73 ,5803233,$43.60 ,$43.79 ,$39.02 
9/18/2023,$44.01 ,5615416,$42.49 ,$44.89 ,$42.09 
9/15/2023,$42.82 ,6482767,$42.12 ,$42.84 ,$41.09 
9/14/2023,$42.60 ,3400457,$41.72 ,$42.97 ,$41.31 
9/13/2023,$40.81 ,2640220,$41.41 ,$41.85 ,$40.70 
9/12/2023,$41.70 ,3087177,$41.96 ,$42.34 ,$41.31 
9/11/2023,$42.40 ,1798960,$42.62 ,$43.64 ,$42.28 
9/8/2023,$42.12 ,1284707,$42.34 ,$42.62 ,$41.73 
9/7/2023,$42.48 ,1468821,$41.72 ,$42.90 ,$41.50 
9/6/2023,$42.23 ,1971711,$42.26 ,$42.70 ,$41.78 
9/5/2023,$42.54 ,2090014,$42.71 ,$43.46 ,$42.13 
9/1/2023,$43.19 ,1467612,$43.49 ,$43.76 ,$42.85 
8/31/2023,$43.22 ,2226555,$43.10 ,$43.24 ,$42.54 
8/30/2023,$42.98 ,2481764,$41.25 ,$43.04 ,$41.25 
8/29/2023,$41.22 ,2865388,$40.46 ,$42.30 ,$40.38 
8/28/2023,$40.65 ,2042557,$39.67 ,$40.91 ,$39.37 
8/25/2023,$39.76 ,1595614,$39.31 ,$39.94 ,$38.85 
8/24/2023,$39.31 ,1984181,$40.43 ,$40.43 ,$39.22 
